"","Yb173Di","barcode","type"
"823",72,"none","real cells"
"824",74,"none","real cells"
"825",72,"none","real cells"
"826",51,"none","real cells"
"827",927,"none","real cells"
"828",66,"none","real cells"
"829",1139,"none","real cells"
"830",49,"none","real cells"
"831",115,"none","real cells"
"832",710,"none","real cells"
"833",130,"none","real cells"
"834",92,"none","real cells"
"835",101,"none","real cells"
"836",91,"none","real cells"
"837",27,"none","real cells"
"838",65,"none","real cells"
"839",65,"none","real cells"
"840",81,"none","real cells"
"841",89,"none","real cells"
"842",107,"none","real cells"
"843",806,"none","real cells"
"844",79,"none","real cells"
"845",1176,"none","real cells"
"846",64,"none","real cells"
"847",41,"none","real cells"
"848",627,"none","real cells"
"849",637,"none","real cells"
"850",40,"none","real cells"
"851",43,"none","real cells"
"852",72,"none","real cells"
"853",567,"none","real cells"
"854",658,"none","real cells"
"855",1410,"none","real cells"
"856",126,"none","real cells"
"857",124,"none","real cells"
"858",70,"none","real cells"
"859",80,"none","real cells"
"860",80,"none","real cells"
"861",1090,"none","real cells"
"862",84,"none","real cells"
"863",1085,"none","real cells"
"864",79,"none","real cells"
"865",39,"none","real cells"
"866",140,"none","real cells"
"867",1233,"none","real cells"
"868",37,"none","real cells"
"869",1196,"none","real cells"
"870",32,"none","real cells"
"871",39,"none","real cells"
"872",1060,"none","real cells"
"873",9,"none","real cells"
"874",72,"none","real cells"
"875",928,"none","real cells"
"876",631,"none","real cells"
"877",56,"none","real cells"
"878",1016,"none","real cells"
"879",120,"none","real cells"
"880",65,"none","real cells"
"881",1046,"none","real cells"
"882",950,"none","real cells"
"883",233,"none","real cells"
"884",237,"none","real cells"
"885",54,"none","real cells"
"886",173,"none","real cells"
"887",44,"none","real cells"
"888",1098,"none","real cells"
"889",1358,"none","real cells"
"890",712,"none","real cells"
"891",37,"none","real cells"
"892",32,"none","real cells"
"893",92,"none","real cells"
"894",98,"none","real cells"
"895",1273,"none","real cells"
"896",994,"none","real cells"
"897",610,"none","real cells"
"898",77,"none","real cells"
"899",39,"none","real cells"
"900",60,"none","real cells"
"901",1541,"none","real cells"
"902",52,"none","real cells"
"903",41,"none","real cells"
"904",47,"none","real cells"
"905",73,"none","real cells"
"906",90,"none","real cells"
"907",0,"none","real cells"
"908",792,"none","real cells"
"909",49,"none","real cells"
"910",982,"none","real cells"
"911",1372,"none","real cells"
"912",828,"none","real cells"
"913",1207,"none","real cells"
"914",786,"none","real cells"
"915",1382,"none","real cells"
"916",1075,"none","real cells"
"917",30,"none","real cells"
"918",75,"none","real cells"
"919",52,"none","real cells"
"920",31,"none","real cells"
"921",630,"none","real cells"
"922",1036,"none","real cells"
"923",894,"none","real cells"
"924",973,"none","real cells"
"925",546,"none","real cells"
"926",1230,"none","real cells"
"927",83,"none","real cells"
"928",1014,"none","real cells"
"929",183,"none","real cells"
"930",1357,"none","real cells"
"931",951,"none","real cells"
"932",1262,"none","real cells"
"933",1306,"none","real cells"
"934",744,"none","real cells"
"935",1142,"none","real cells"
"936",1378,"none","real cells"
"937",992,"none","real cells"
"938",1,"none","real cells"
"939",68,"none","real cells"
"940",93,"none","real cells"
"941",34,"none","real cells"
"942",38,"none","real cells"
"943",1145,"none","real cells"
"944",711,"none","real cells"
"945",57,"none","real cells"
"946",1191,"none","real cells"
"947",16,"none","real cells"
"948",1049,"none","real cells"
"949",475,"none","real cells"
"950",709,"none","real cells"
"951",596,"none","real cells"
"952",733,"none","real cells"
"953",1244,"none","real cells"
"954",45,"none","real cells"
"955",50,"none","real cells"
"956",77,"none","real cells"
"957",575,"none","real cells"
"958",117,"none","real cells"
"959",1064,"none","real cells"
"960",28,"none","real cells"
"961",87,"none","real cells"
"962",54,"none","real cells"
"963",903,"none","real cells"
"964",783,"none","real cells"
"965",815,"none","real cells"
"966",733,"none","real cells"
"967",89,"none","real cells"
"968",162,"none","real cells"
"969",23,"none","real cells"
"970",99,"none","real cells"
"971",1370,"none","real cells"
"972",100,"none","real cells"
"973",1211,"none","real cells"
"974",27,"none","real cells"
