"","Yb173Di","barcode","type"
"703",37,"Yb172Di","beads"
"704",3,"Yb174Di","beads"
"705",6,"Yb176Di","beads"
"706",13,"Yb176Di","beads"
"707",3,"Yb176Di","beads"
"708",74,"Yb172Di","beads"
"709",81,"Yb172Di","beads"
"710",7,"Yb171Di","beads"
"711",3,"Yb174Di","beads"
"712",10,"Yb174Di","beads"
"713",61,"Yb172Di","beads"
"714",4,"Yb174Di","beads"
"715",8,"Yb174Di","beads"
"716",24,"Yb172Di","beads"
"717",3,"Yb176Di","beads"
"718",1110,"Yb173Di","beads"
"719",1450,"Yb173Di","beads"
"720",4,"Yb171Di","beads"
"721",0,"Yb176Di","beads"
"722",67,"Yb172Di","beads"
"723",1217,"Yb173Di","beads"
"724",4,"Yb171Di","beads"
"725",8,"Yb174Di","beads"
"726",8,"Yb174Di","beads"
"727",12,"Yb174Di","beads"
"728",76,"Yb172Di","beads"
"729",5,"Yb171Di","beads"
"730",1066,"Yb173Di","beads"
"731",8,"Yb174Di","beads"
"732",0,"Yb171Di","beads"
"733",3,"Yb176Di","beads"
"734",5,"Yb171Di","beads"
"735",1095,"Yb173Di","beads"
"736",1592,"Yb173Di","beads"
"737",6,"Yb176Di","beads"
"738",1185,"Yb173Di","beads"
"739",20,"Yb172Di","beads"
"740",48,"Yb172Di","beads"
"741",9,"Yb176Di","beads"
"742",4,"Yb174Di","beads"
"743",5,"Yb171Di","beads"
"744",1150,"Yb173Di","beads"
"745",30,"Yb172Di","beads"
"746",0,"Yb171Di","beads"
"747",4,"Yb176Di","beads"
"748",0,"Yb171Di","beads"
"749",1,"Yb176Di","beads"
"750",4,"Yb171Di","beads"
"751",7,"Yb176Di","beads"
"752",56,"Yb172Di","beads"
"753",71,"Yb172Di","beads"
"754",1,"Yb174Di","beads"
"755",7,"Yb176Di","beads"
"756",0,"Yb171Di","beads"
"757",6,"Yb176Di","beads"
"758",5,"Yb171Di","beads"
"759",55,"Yb172Di","beads"
"760",2,"Yb176Di","beads"
"761",4,"Yb176Di","beads"
"762",1,"Yb171Di","beads"
"763",4,"Yb174Di","beads"
"764",7,"Yb174Di","beads"
"765",4,"Yb174Di","beads"
"766",1021,"Yb173Di","beads"
"767",3,"Yb171Di","beads"
"768",17,"Yb176Di","beads"
"769",1197,"Yb173Di","beads"
"770",2,"Yb174Di","beads"
"771",4,"Yb174Di","beads"
"772",36,"Yb172Di","beads"
"773",8,"Yb176Di","beads"
"774",48,"Yb172Di","beads"
"775",1183,"Yb173Di","beads"
"776",1552,"Yb173Di","beads"
"777",1222,"Yb173Di","beads"
"778",1113,"Yb173Di","beads"
"779",38,"Yb172Di","beads"
"780",17,"Yb174Di","beads"
"781",982,"Yb173Di","beads"
"782",5,"Yb174Di","beads"
"783",1,"Yb171Di","beads"
"784",0,"Yb171Di","beads"
"785",48,"Yb172Di","beads"
"786",36,"Yb172Di","beads"
"787",50,"Yb172Di","beads"
"788",9,"Yb174Di","beads"
"789",37,"Yb172Di","beads"
"790",36,"Yb172Di","beads"
"791",1079,"Yb173Di","beads"
"792",12,"Yb176Di","beads"
"793",1221,"Yb173Di","beads"
"794",5,"Yb176Di","beads"
"795",0,"Yb171Di","beads"
"796",1,"Yb171Di","beads"
